"pitcher1","pitcher2","similarity"
"CC Sabathia","CC Sabathia",0
"Cole Hamels","CC Sabathia",0.978078828526469
"Francisco Liriano","CC Sabathia",0.868286257874303
"Rich Hill","CC Sabathia",1.78945984134401
"Jaime Garcia","CC Sabathia",0.833248733449812
"Jon Lester","CC Sabathia",0.981825698372778
"Clayton Richard","CC Sabathia",1.49344372352572
"David Price","CC Sabathia",1.19977973931119
"J. A. Happ","CC Sabathia",1.15482093964942
"Gio Gonzalez","CC Sabathia",1.04081456534409
"Travis Wood","CC Sabathia",1.06447817100655
"Clayton Kershaw","CC Sabathia",1.69761338980525
"Wade Miley","CC Sabathia",0.985152592180364
"Jose Quintana","CC Sabathia",0.767847021688363
"Derek Holland","CC Sabathia",0.873271918453903
"Madison Bumgarner","CC Sabathia",0.923020995811998
"Danny Duffy","CC Sabathia",0.757831687539418
"Matt Moore","CC Sabathia",1.14014901314606
"Drew Pomeranz","CC Sabathia",1.56380379168
"Chris Sale","CC Sabathia",1.03952736072049
"Martin Perez","CC Sabathia",1.1122310803322
"Adam Conley","CC Sabathia",1.32521940270674
"Mike Montgomery","CC Sabathia",1.00156183622031
"Hyun-Jin Ryu","CC Sabathia",1.23544956624471
"Matt Boyd","CC Sabathia",0.917947437572943
"Patrick Corbin","CC Sabathia",0.737806471880862
"Steven Matz","CC Sabathia",1.09339906506651
"James Paxton","CC Sabathia",1.44666963019452
"Dallas Keuchel","CC Sabathia",0.825511898383971
"Robbie Ray","CC Sabathia",1.29784781694218
"Eduardo Rodriguez","CC Sabathia",1.29551101956296
"Daniel Norris","CC Sabathia",1.16710070722644
"Blake Snell","CC Sabathia",1.3354382127308
"Adalberto Mejia","CC Sabathia",0.951426818398095
"Carlos Rodon","CC Sabathia",0.902666852504673
"Kyle Freeland","CC Sabathia",1.10880757137658
"Sean Manaea","CC Sabathia",1.3910986789522
"Jordan Montgomery","CC Sabathia",0.983549358002589
"Sean Newcomb","CC Sabathia",1.21342419644323
"Ariel Miranda","CC Sabathia",1.42748090930911
"Jason Vargas","CC Sabathia",1.5305621518309
"Ty Blach","CC Sabathia",1.4631838195823
"Alex Wood","CC Sabathia",1.16612048554444
"Hector Santiago","CC Sabathia",1.4647758954194
"CC Sabathia","Cole Hamels",0.978078828526469
"Cole Hamels","Cole Hamels",0
"Francisco Liriano","Cole Hamels",0.722561485695781
"Rich Hill","Cole Hamels",2.2265515022367
"Jaime Garcia","Cole Hamels",0.665672509629518
"Jon Lester","Cole Hamels",0.796706492955333
"Clayton Richard","Cole Hamels",1.13749331065498
"David Price","Cole Hamels",0.79374590022212
"J. A. Happ","Cole Hamels",0.737581136615199
"Gio Gonzalez","Cole Hamels",0.921152165291045
"Travis Wood","Cole Hamels",1.25320531364228
"Clayton Kershaw","Cole Hamels",1.72629625337855
"Wade Miley","Cole Hamels",0.905836158024036
"Jose Quintana","Cole Hamels",1.20857114198982
"Derek Holland","Cole Hamels",0.969405887747008
"Madison Bumgarner","Cole Hamels",0.907108658748257
"Danny Duffy","Cole Hamels",0.924756492288157
"Matt Moore","Cole Hamels",0.665481867027247
"Drew Pomeranz","Cole Hamels",1.7959704450449
"Chris Sale","Cole Hamels",1.15732764940631
"Martin Perez","Cole Hamels",0.569473778719257
"Adam Conley","Cole Hamels",0.887773681299463
"Mike Montgomery","Cole Hamels",0.865546170946774
"Hyun-Jin Ryu","Cole Hamels",0.959490878671177
"Matt Boyd","Cole Hamels",0.679000950324917
"Patrick Corbin","Cole Hamels",0.923826706830079
"Steven Matz","Cole Hamels",0.825367508695887
"James Paxton","Cole Hamels",1.24543133578471
"Dallas Keuchel","Cole Hamels",1.01665878512113
"Robbie Ray","Cole Hamels",1.19579239653739
"Eduardo Rodriguez","Cole Hamels",0.80589890823131
"Daniel Norris","Cole Hamels",0.954564430037479
"Blake Snell","Cole Hamels",1.15200029654771
"Adalberto Mejia","Cole Hamels",0.834702678242518
"Carlos Rodon","Cole Hamels",0.902271088448095
"Kyle Freeland","Cole Hamels",0.856744513327973
"Sean Manaea","Cole Hamels",0.891919121159131
"Jordan Montgomery","Cole Hamels",1.00548391114069
"Sean Newcomb","Cole Hamels",1.22283518604584
"Ariel Miranda","Cole Hamels",1.1363244413837
"Jason Vargas","Cole Hamels",1.39270877175596
"Ty Blach","Cole Hamels",0.85073019754393
"Alex Wood","Cole Hamels",0.866052923629106
"Hector Santiago","Cole Hamels",0.938279874537261
"CC Sabathia","Francisco Liriano",0.868286257874303
"Cole Hamels","Francisco Liriano",0.722561485695781
"Francisco Liriano","Francisco Liriano",0
"Rich Hill","Francisco Liriano",2.26097595184239
"Jaime Garcia","Francisco Liriano",0.874686812514626
"Jon Lester","Francisco Liriano",0.979184399713767
"Clayton Richard","Francisco Liriano",1.11687893256869
"David Price","Francisco Liriano",0.627049921861498
"J. A. Happ","Francisco Liriano",0.814685339053889
"Gio Gonzalez","Francisco Liriano",1.25030872743724
"Travis Wood","Francisco Liriano",1.22310307345903
"Clayton Kershaw","Francisco Liriano",1.95722321646363
"Wade Miley","Francisco Liriano",0.882843248749852
"Jose Quintana","Francisco Liriano",1.17611564285221
"Derek Holland","Francisco Liriano",0.886099359428867
"Madison Bumgarner","Francisco Liriano",1.06419430995746
"Danny Duffy","Francisco Liriano",0.822085848551443
"Matt Moore","Francisco Liriano",0.880809785452047
"Drew Pomeranz","Francisco Liriano",1.82536902486381
"Chris Sale","Francisco Liriano",0.938767355735703
"Martin Perez","Francisco Liriano",0.612585489494743
"Adam Conley","Francisco Liriano",0.894125219504137
"Mike Montgomery","Francisco Liriano",0.881101937073663
"Hyun-Jin Ryu","Francisco Liriano",1.33995643956311
"Matt Boyd","Francisco Liriano",0.830539666459045
"Patrick Corbin","Francisco Liriano",0.771360469408877
"Steven Matz","Francisco Liriano",0.832383970248131
"James Paxton","Francisco Liriano",1.27259702206405
"Dallas Keuchel","Francisco Liriano",1.03872346187988
"Robbie Ray","Francisco Liriano",1.11694098886195
"Eduardo Rodriguez","Francisco Liriano",0.733287425925206
"Daniel Norris","Francisco Liriano",0.876897614343968
"Blake Snell","Francisco Liriano",1.2569923324811
"Adalberto Mejia","Francisco Liriano",0.667820897592493
"Carlos Rodon","Francisco Liriano",0.657538583614496
"Kyle Freeland","Francisco Liriano",0.499402712437469
"Sean Manaea","Francisco Liriano",0.978298548527161
"Jordan Montgomery","Francisco Liriano",1.07912564964282
"Sean Newcomb","Francisco Liriano",1.28871883671342
"Ariel Miranda","Francisco Liriano",1.13662463772826
"Jason Vargas","Francisco Liriano",1.78064193176822
"Ty Blach","Francisco Liriano",1.27431780948704
"Alex Wood","Francisco Liriano",0.749044353083447
"Hector Santiago","Francisco Liriano",1.32630002994987
"CC Sabathia","Rich Hill",1.78945984134401
"Cole Hamels","Rich Hill",2.2265515022367
"Francisco Liriano","Rich Hill",2.26097595184239
"Rich Hill","Rich Hill",0
"Jaime Garcia","Rich Hill",2.18547190957096
"Jon Lester","Rich Hill",1.77323761262949
"Clayton Richard","Rich Hill",2.68869499920888
"David Price","Rich Hill",2.39091103401926
"J. A. Happ","Rich Hill",2.47692221445443
"Gio Gonzalez","Rich Hill",1.67779926248045
"Travis Wood","Rich Hill",2.12579543060948
"Clayton Kershaw","Rich Hill",2.04353261511673
"Wade Miley","Rich Hill",1.72273940314643
"Jose Quintana","Rich Hill",1.61050469880368
"Derek Holland","Rich Hill",1.73336403006751
"Madison Bumgarner","Rich Hill",1.75614074565632
"Danny Duffy","Rich Hill",1.89701270749965
"Matt Moore","Rich Hill",2.11769981735417
"Drew Pomeranz","Rich Hill",1.20195503759157
"Chris Sale","Rich Hill",1.96184612786453
"Martin Perez","Rich Hill",2.39403082847396
"Adam Conley","Rich Hill",2.44321713050604
"Mike Montgomery","Rich Hill",1.75224170059747
"Hyun-Jin Ryu","Rich Hill",1.728158312145
