"pitcher1","pitcher2","similarity"
"Bartolo Colon","Bartolo Colon",0
"Bronson Arroyo","Bartolo Colon",2.02653335260536
"R. A. Dickey","Bartolo Colon",1.99491839588056
"John Lackey","Bartolo Colon",1.49932652787025
"Adam Wainwright","Bartolo Colon",2.2675214913096
"Zack Greinke","Bartolo Colon",1.77415674350421
"Ervin Santana","Bartolo Colon",1.60694213039576
"Matt Cain","Bartolo Colon",1.44078209833463
"Felix Hernandez","Bartolo Colon",1.55328022579614
"Yusmeiro Petit","Bartolo Colon",1.50646996709627
"Justin Verlander","Bartolo Colon",1.9253603422596
"Ubaldo Jimenez","Bartolo Colon",0.999570185492577
"Jason Hammel","Bartolo Colon",1.77346510569247
"Anibal Sanchez","Bartolo Colon",1.27217867070247
"Brandon McCarthy","Bartolo Colon",1.89565635307864
"Ricky Nolasco","Bartolo Colon",1.65665130072306
"Jesse Chavez","Bartolo Colon",1.41939917564841
"Corey Kluber","Bartolo Colon",1.57398979755561
"James Shields","Bartolo Colon",1.59416765286383
"Carlos Torres","Bartolo Colon",1.83788363560268
"Edinson Volquez","Bartolo Colon",1.24312163548059
"Charlie Morton","Bartolo Colon",2.08993930485394
"Yovani Gallardo","Bartolo Colon",1.67479760178725
"Ian Kennedy","Bartolo Colon",1.5253818543237
"Max Scherzer","Bartolo Colon",1.58372467491705
"Miguel Gonzalez","Bartolo Colon",1.41901617253567
"Johnny Cueto","Bartolo Colon",1.09069558847145
"Lance Lynn","Bartolo Colon",1.0120131681596
"Josh Tomlin","Bartolo Colon",1.74580791140948
"Marco Estrada","Bartolo Colon",1.6929238887708
"Ivan Nova","Bartolo Colon",1.28353149153127
"Jhoulys Chacin","Bartolo Colon",1.61873537089834
"Carlos Carrasco","Bartolo Colon",1.54208774580648
"Jeremy Hellickson","Bartolo Colon",1.12311849590643
"Andrew Cashner","Bartolo Colon",1.02732892574415
"Craig Stammen","Bartolo Colon",1.33762431794428
"Matt Garza","Bartolo Colon",1.77510566024615
"J. C. Ramirez","Bartolo Colon",2.06192337645803
"Michael Pineda","Bartolo Colon",1.54030268258602
"Chris Tillman","Bartolo Colon",1.40002656908747
